uuid,Last Credentialed Scan,repository,operatingSystem,pluginID,pluginName,firstSeen,lastSeen,sourcetype,Level,cve
10000asas0000012,2022-01-04 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/27/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000013,2022-01-04 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Network Equipment,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000"
10000asas0000014,2022-01-04 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.1.12-124.58.2.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000015,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),10/28/2021,1/27/2022,vulnerability:remediated,High,CVE-0000-0000
10000asas0000016,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),10/28/2021,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000017,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),10/28/2021,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000"
10000asas0000018,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.14.35-2047.505.4.3.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),10/28/2021,1/27/2022,vulnerability:remediated,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000019,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Network Equipment,Linux Kernel 4.14.35-2047.505.4.3.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),10/28/2021,1/27/2022,vulnerability:remediated,High,"CVE-0000-0000,CVE-0000-0000"
10000asas0000020,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.14.35-2047.505.4.3.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Java SE 1.7.0_331 / 1.8.0_321 / 1.11.0_14 / 1.17.0_2 Multiple Vulnerabilities (Unix January 2022 CPU),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000021,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.14.35-2047.505.4.3.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,Medium,CVE-0000-0000
10000asas0000022,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.14.35-2047.505.4.3.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000023,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 4.14.35-2047.505.4.3.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,KB5009595: Windows Server 2012 R2 Security Updates (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000"
10000asas0000024,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows Server 2019 Datacenter,1230123,KB5009595: Windows Server 2012 R2 Security Updates (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000025,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000026,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000027,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000028,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,High,"CVE-0000-0000,CVE-0000-0000"
10000asas0000029,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Network Equipment,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000030,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,High,CVE-0000-0000
10000asas0000031,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,Apache Log4j 2.x < 2.17.0 DoS,1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000032,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,KB5009557: Windows 10 Version 1809 and Windows Server 2019 Security Update (January 2022),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000"
10000asas0000033,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,Oracle Linux 7 : kernel (ELSA-2022-0063),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000034,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.49.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/20/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000035,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Network Equipment,Microsoft Windows Server 2019 Datacenter,1230123,Oracle Linux 8 : kernel (ELSA-2022-0188),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000036,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2019 Datacenter,1230123,Oracle Linux 8 : kernel (ELSA-2022-0188),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000"
10000asas0000037,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2012 R2 Datacenter,1230123,Oracle Linux 7 : kernel (ELSA-2022-0063),1/13/2022,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000038,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Microsoft Windows Server 2012 R2 Datacenter,1230123,Oracle Linux 8 : kernel (ELSA-2022-0188),1/13/2022,1/27/2022,vulnerability:remediated,Low,CVE-0000-0000
10000asas0000039,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows Server 2019 Datacenter,1230123,Oracle Linux 8 : kernel (ELSA-2022-0188),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000040,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows Server 2019 Datacenter,1230123,Apache Log4j 1.x Multiple Vulnerabilities,1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000"
10000asas0000041,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows Server 2019 Datacenter,1230123,Oracle Linux 7 : kernel (ELSA-2022-0063),1/20/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000042,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,Medium,CVE-0000-0000
10000asas0000043,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.49.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 8 : kernel (ELSA-2022-0188),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000044,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.49.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 8 : kernel (ELSA-2022-0188),1/27/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000"
10000asas0000045,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Network Equipment,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : kernel (ELSA-2022-0063),1/20/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000046,2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Linux 7 / 8 : Unbreakable Enterprise kernel (ELSA-2022-9028),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000047,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Linux 8 : kernel (ELSA-2022-0188),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000048,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.49.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 8 : kernel (ELSA-2022-0188),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000"
10000asas0000049,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.18.0-348.el8.x86_64 on Oracle Linux Server release 8.5,1230123,Google Chrome < 97.0.4692.99 Multiple Vulnerabilities,1/27/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000050,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Network Equipment,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Linux 7 : kernel (ELSA-2022-0063),1/20/2022,1/27/2022,vulnerability:open,Medium,CVE-0000-0000
10000asas0000051,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.14.35-2047.510.4.1.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 / 8 : Unbreakable Enterprise kernel (ELSA-2022-9028),1/27/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000052,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),1/27/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000"
10000asas0000053,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.49.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : polkit (ELSA-2022-0274),1/27/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000054,2022-01-01 2022-01-08 2022-01-15 2022-01-22 2022-01-29,Servers,Linux Kernel 5.4.17-2136.302.6.1.el7uek.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : polkit (ELSA-2022-0274),1/22/2022,1/29/2022,vulnerability:remediated,Medium,CVE-0000-0000
10000asas0000055,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000056,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000"
10000asas0000057,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Microsoft Windows 10 Enterprise,1230123,Oracle Linux 7 : polkit (ELSA-2022-0274),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000058,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Linux 7 : polkit (ELSA-2022-0274),5/6/2021,1/27/2022,vulnerability:remediated,High,"CVE-0000-0000,CVE-0000-0000"
10000asas0000059,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),10/28/2021,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000060,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 4.18.0-348.7.1.el8_5.x86_64 on Oracle Linux Server release 8.5,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),10/28/2021,1/27/2022,vulnerability:remediated,Low,CVE-0000-0000
10000asas0000061,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Network Equipment,Linux Kernel 2.6.32-754.35.1.0.5.el6.x86_64 on Oracle Linux Server release 6.10,1230123,Oracle Java SE 1.7.0_331 / 1.8.0_321 / 1.11.0_14 / 1.17.0_2 Multiple Vulnerabilities (Unix January 2022 CPU),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000062,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 2.6.32-754.35.1.0.5.el6.x86_64 on Oracle Linux Server release 6.10,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),10/28/2021,1/27/2022,vulnerability:remediated,Low,"CVE-0000-0000,CVE-0000-0000"
10000asas0000063,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 2.6.32-754.35.1.0.5.el6.x86_64 on Oracle Linux Server release 6.10,1230123,Oracle Linux 7 : polkit (ELSA-2022-0274),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000064,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000065,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Java SE 1.7.0_331 / 1.8.0_321 / 1.11.0_14 / 1.17.0_2 Multiple Vulnerabilities (Unix January 2022 CPU),1/27/2022,1/27/2022,vulnerability:open,Low,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000066,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Java SE 1.7.0_331 / 1.8.0_321 / 1.11.0_14 / 1.17.0_2 Multiple Vulnerabilities (Unix January 2022 CPU),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000067,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000"
10000asas0000068,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Servers,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000069,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,High,CVE-0000-0000
10000asas0000070,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000071,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Network Equipment,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Network daemons not managed by the package system,12/14/2021,1/27/2022,vulnerability:remediated,Medium,"CVE-0000-0000,CVE-0000-0000"
10000asas0000072,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Linux 8 : polkit (ELSA-2022-0267),1/27/2022,1/27/2022,vulnerability:open,Medium,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000073,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 3.10.0-1160.53.1.el7.x86_64 on Oracle Linux Server release 7.9,1230123,Oracle Java SE 1.7.0_321 / 1.8.0_311 / 1.11.0_13 / 1.17.0_1 Multiple Vulnerabilities (Unix October 2021 CPU),10/28/2021,1/27/2022,vulnerability:remediated,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
10000asas0000074,2022-01-05 2022-01-06 2022-01-13 2022-01-20 2022-01-27,Workstations,Linux Kernel 4.18.0-305.7.1.el8_4.x86_64 on Oracle Linux Server release 8.4,1230123,Oracle Linux 7 : httpd (ELSA-2022-0143),1/27/2022,1/27/2022,vulnerability:open,High,"CVE-0000-0000,CVE-0000-0000,CVE-0000-0000,CVE-0000-0000"
